timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,flash_attn_ms,out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778406237,1085,50,4096,11008,32,32,0.013312,0.147456,0.026624,0.036864,0.049152,0.013312,0.168960,0.115712,0.571392,18.284544,54.691002
1778406491,18615,50,4096,11008,32,32,0.014336,0.145408,0.023552,0.033792,0.049152,0.012288,0.165888,0.124928,0.569344,18.219007,54.887733
1778406706,29873,50,4096,11008,32,32,0.013312,0.132096,0.016384,0.068608,0.055296,0.013312,0.173056,0.111616,0.583680,18.677761,53.539608
1778406953,471,50,4096,11008,32,32,0.013312,0.129024,0.017408,0.034816,0.049152,0.013312,0.165888,0.107520,0.530432,16.973824,58.914246
1778407147,322,50,4096,11008,32,32,0.013312,0.123904,0.015360,0.032768,0.047104,0.012288,0.163840,0.100352,0.508928,16.285696,61.403576
1778407345,2998,100,4096,11008,32,32,0.012288,0.123904,0.017408,0.040960,0.048128,0.013312,0.163840,0.101376,0.521216,16.678913,59.955944
1778407548,278,100,4096,11008,32,32,0.013312,0.122880,0.016384,0.037888,0.047104,0.012288,0.164864,0.100352,0.515072,16.482304,60.671131
1778407791,13,100,4096,11008,32,32,0.013312,0.151552,0.024576,0.039936,0.048128,0.012288,0.164864,0.112640,0.567296,18.153473,55.085876
1778407995,4687,100,4096,11008,32,32,0.012288,0.121856,0.015360,0.036864,0.047104,0.013312,0.163840,0.100352,0.510976,16.351231,61.157475
1778408201,15387,100,4096,11008,32,32,0.013312,0.121856,0.015360,0.036864,0.048128,0.012288,0.161792,0.100352,0.509952,16.318464,61.280277
