timestamp_unix,token,pos,dim,hidden_dim,n_heads,n_kv_heads,rms_att_ms,qkv_ms,rope_kvcache_ms,flash_attn_ms,out_proj_res_ms,rms_ffn_ms,ffn_w1w3_ms,swiglu_w2_ms,total_layer_ms,est_32_layer_ms,est_tok_s
1778394612,390,10,4096,11008,32,32,0.013312,0.116736,0.017408,0.028672,0.047104,0.013312,0.159744,0.091136,0.487424,15.597568,64.112564
1778394841,3942,10,4096,11008,32,32,0.013312,0.122880,0.020480,0.027648,0.046080,0.012288,0.158720,0.090112,0.491520,15.728641,63.578285
1778395026,4257,10,4096,11008,32,32,0.015360,0.122880,0.018432,0.030720,0.048128,0.015360,0.160768,0.091136,0.502784,16.089088,62.153927
1778395221,4312,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.027648,0.045056,0.012288,0.154624,0.088064,0.471040,15.073280,66.342560
1778395429,10551,50,4096,11008,32,32,0.014336,0.132096,0.036864,0.033792,0.047104,0.012288,0.189440,0.090112,0.556032,17.793022,56.201809
1778395632,1144,50,4096,11008,32,32,0.013312,0.115712,0.015360,0.031744,0.046080,0.012288,0.155648,0.088064,0.478208,15.302656,65.348129
1778395869,14610,50,4096,11008,32,32,0.013312,0.125952,0.021504,0.032768,0.047104,0.011264,0.157696,0.091136,0.500736,16.023552,62.408134
1778396055,8496,50,4096,11008,32,32,0.014336,0.115712,0.016384,0.031744,0.046080,0.012288,0.156672,0.088064,0.481280,15.400961,64.931015
1778396238,1105,50,4096,11008,32,32,0.013312,0.114688,0.020480,0.031744,0.046080,0.012288,0.154624,0.088064,0.481280,15.400961,64.931015
1778366415,10551,50,4096,11008,32,32,0.013312,0.117760,0.021504,0.035840,0.041984,0.012288,0.128000,0.077824,0.448512,14.352385,69.674835
1778394406,1559,10,4096,11008,32,32,0.013312,0.116736,0.017408,0.027648,0.045056,0.013312,0.154624,0.088064,0.476160,15.237120,65.629204
1778394612,390,10,4096,11008,32,32,0.013312,0.116736,0.017408,0.028672,0.047104,0.013312,0.159744,0.091136,0.487424,15.597568,64.112564
1778394841,3942,10,4096,11008,32,32,0.013312,0.122880,0.020480,0.027648,0.046080,0.012288,0.158720,0.090112,0.491520,15.728641,63.578285
1778395026,4257,10,4096,11008,32,32,0.015360,0.122880,0.018432,0.030720,0.048128,0.015360,0.160768,0.091136,0.502784,16.089088,62.153927
1778395221,4312,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.027648,0.045056,0.012288,0.154624,0.088064,0.471040,15.073280,66.342560
1778395429,10551,50,4096,11008,32,32,0.014336,0.132096,0.036864,0.033792,0.047104,0.012288,0.189440,0.090112,0.556032,17.793022,56.201809
1778395632,1144,50,4096,11008,32,32,0.013312,0.115712,0.015360,0.031744,0.046080,0.012288,0.155648,0.088064,0.478208,15.302656,65.348129
1778395869,14610,50,4096,11008,32,32,0.013312,0.125952,0.021504,0.032768,0.047104,0.011264,0.157696,0.091136,0.500736,16.023552,62.408134
1778396055,8496,50,4096,11008,32,32,0.014336,0.115712,0.016384,0.031744,0.046080,0.012288,0.156672,0.088064,0.481280,15.400961,64.931015
1778396238,1105,50,4096,11008,32,32,0.013312,0.114688,0.020480,0.031744,0.046080,0.012288,0.154624,0.088064,0.481280,15.400961,64.931015
1778396449,322,100,4096,11008,32,32,0.014336,0.114688,0.014336,0.039936,0.044032,0.013312,0.154624,0.091136,0.486400,15.564800,64.247528
1778366415,10551,50,4096,11008,32,32,0.013312,0.117760,0.021504,0.035840,0.041984,0.012288,0.128000,0.077824,0.448512,14.352385,69.674835
1778394406,1559,10,4096,11008,32,32,0.013312,0.116736,0.017408,0.027648,0.045056,0.013312,0.154624,0.088064,0.476160,15.237120,65.629204
1778394612,390,10,4096,11008,32,32,0.013312,0.116736,0.017408,0.028672,0.047104,0.013312,0.159744,0.091136,0.487424,15.597568,64.112564
1778394841,3942,10,4096,11008,32,32,0.013312,0.122880,0.020480,0.027648,0.046080,0.012288,0.158720,0.090112,0.491520,15.728641,63.578285
1778395026,4257,10,4096,11008,32,32,0.015360,0.122880,0.018432,0.030720,0.048128,0.015360,0.160768,0.091136,0.502784,16.089088,62.153927
1778395221,4312,10,4096,11008,32,32,0.013312,0.113664,0.016384,0.027648,0.045056,0.012288,0.154624,0.088064,0.471040,15.073280,66.342560
1778395429,10551,50,4096,11008,32,32,0.014336,0.132096,0.036864,0.033792,0.047104,0.012288,0.189440,0.090112,0.556032,17.793022,56.201809
